repos
keras-team/keras
aymericdamien/TensorFlow-Examples
huggingface/transformers
xitu/gold-miner
madewithml/basics
google-research/bert
ageron/handson-ml
donnemartin/data-science-ipython-notebooks
CorentinJ/Real-Time-Voice-Cloning
matterport/Mask_RCNN
MLEveryday/100-Days-Of-ML-Code
machinelearningmindset/TensorFlow-Course
mozilla/DeepSpeech
virgili0/Virgilio
deezer/spleeter
davidsandberg/facenet
justadudewhohacks/face-api.js
chiphuyen/stanford-tensorflow-tutorials
lutzroeder/netron
tflearn/tflearn
deeppomf/DeepCreamPy
horovod/horovod
kubeflow/kubeflow
google/dopamine
vahidk/EffectiveTensorflow
onnx/onnx
deepmind/sonnet
dragen1860/Deep-Learning-with-TensorFlow-book
Hvass-Labs/TensorFlow-Tutorials
MorvanZhou/tutorials
hanxiao/bert-as-service
lexfridman/mit-deep-learning
keras-team/autokeras
vipstone/faceai
carpedm20/DCGAN-tensorflow
graykode/nlp-tutorial
brightmart/text_classification
microsoft/nni
tensorlayer/tensorlayer
wiseodd/generative-models
PyTorchLightning/pytorch-lightning
rasbt/python-machine-learning-book-2nd-edition
nfmcclure/tensorflow_cookbook
ufoym/deepo
thtrieu/darkflow
tensorpack/tensorpack
tensorflow/swift
photoprism/photoprism
zihangdai/xlnet
google/seq2seq
dragen1860/TensorFlow-2.x-Tutorials
aymericdamien/TopDeepLearning
transcranial/keras-js
cchen156/Learning-to-See-in-the-Dark
microsoft/MMdnn
keras-rl/keras-rl
Alluxio/alluxio
blei-lab/edward
astorfi/TensorFlow-World
tensorflow/serving
BinRoot/TensorFlow-Book
lyhue1991/eat_tensorflow2_in_30_days
deepmind/graph_nets
deepmipt/DeepPavlov
ashnkumar/sketch-code
tensorspace-team/tensorspace
PipelineAI/pipeline
yandexdataschool/Practical_RL
hunkim/DeepLearningZeroToAll
jackzhenguo/python-small-examples
minimaxir/textgenrnn
balancap/SSD-Tensorflow
MorvanZhou/Tensorflow-Tutorial
tensorflow/lucid
naturomics/CapsNet-Tensorflow
xitu/tensorflow-docs
opencv/cvat
hwalsuklee/tensorflow-generative-model-collections
yahoo/TensorFlowOnSpark
tensorflow/docs
endernewton/tf-faster-rcnn
zeusees/HyperLPR
apachecn/hands-on-ml-zh
pqpo/SmartCropper
tensorflow/examples
ildoonet/tf-pose-estimation
hybridgroup/gocv
MrGemy95/Tensorflow-Project-Template
vespa-engine/vespa
tensorflow/adanet
jinfagang/tensorflow_poems
ymcui/Chinese-BERT-wwm
idealo/imagededup
CharlesShang/FastMaskRCNN
gaussic/text-classification-cnn-rnn
nl8590687/ASRT_SpeechRecognition
Mikoto10032/DeepLearning
tensorflow/probability
eragonruan/text-detection-ctpn
migueldeicaza/TensorFlowSharp
taki0112/Tensorflow-Cookbook
easy-tensorflow/easy-tensorflow
fo40225/tensorflow-windows-wheel
YunYang1994/tensorflow-yolov3
leriomaggio/deep-learning-keras-tensorflow
Conchylicultor/DeepQA
mindsdb/mindsdb
tensorforce/tensorforce
ysh329/deep-learning-model-convertor
zzw922cn/Automatic_Speech_Recognition
charlesq34/pointnet
rasbt/deep-learning-book
cysmith/neural-style-tf
raghakot/keras-vis
guillaume-chevalier/LSTM-Human-Activity-Recognition
brightmart/albert_zh
cloud-annotations/training
tensorflow/rust
jostmey/NakedTensor
polyaxon/polyaxon
NervanaSystems/nlp-architect
horance-liu/tensorflow-internals
argman/EAST
tensorflow/hub
TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials
simoninithomas/Deep_reinforcement_learning_Course
CreatCodeBuild/TensorFlow-and-DeepLearning-Tutorial
tryolabs/luminoth
smallcorgi/Faster-RCNN_TF
tensorlayer/srgan
qubvel/segmentation_models
bytedance/byteps
jeffheaton/t81_558_deep_learning
aamini/introtodeeplearning
robi56/Deep-Learning-for-Recommendation-Systems
GeorgeSeif/Semantic-Segmentation-Suite
jolibrain/deepdetect
samjabrahams/tensorflow-on-raspberry-pi
tensorflow/datasets
pannous/tensorflow-speech-recognition
keithito/tacotron
junxiaosong/AlphaZero_Gomoku
koth/kcws
xiaofengShi/CHINESE-OCR
lakshayg/tensorflow-build-archived
awjuliani/DeepRL-Agents
tensorflow/lingvo
golbin/TensorFlow-Tutorials
wandb/client
google/deepvariant
paarthneekhara/text-to-image
