API, Freq
nncompute_average_loss,2
nnbatch_norm_with_global_normalization,10
nnbatch_normalization,203
nncompute_accidental_hits,3
nncollapse_repeated,0
nnavg_pool3d,37
nnbias_add,872
nnavg_pool2d,4
nnavg_pool1d,0
nestmap_structure,1057
nestis_nested,31
nnatrous_conv2d_transpose,2
nnatrous_conv2d,44
nestflatten,819
nnavg_pool,290
nestpack_sequence_as,284
mixed_precisionexperimentalDynamicLossScale,0
mlirexperimentalconvert_graph_def,0
mixed_precisionexperimentalFixedLossScale,0
nestassert_same_structure,209
mathzeta,7
mathzero_fraction,5
mathxlogy,12
mathxdivy,2
mixed_precisionexperimentalLossScale,4
mathunsorted_segment_min,4
mathunsorted_segment_mean,8
mathunsorted_segment_sum,73
mathunsorted_segment_sqrt_n,1
mathunsorted_segment_prod,10
mathtruediv,6
mathtop_k,22
mathtan,51
mathunsorted_segment_max,11
mathsubtract,11
mathsquared_difference,99
mathsquare,165
mathtanh,37
mathsqrt,1317
mathsegment_sum,30
mathsegment_prod,4
mathsign,15
mathsigmoid,41
mathsin,224
mathsinh,9
mathsoftplus,92
mathsegment_min,3
mathreduce_sum,88
mathreduce_variance,15
mathround,15
mathsegment_max,4
mathrint,6
mathscalar_mul,1
mathrsqrt,55
mathsegment_mean,8
mathreduce_std,25
mathreduce_prod,8
mathreduce_min,21
mathreduce_mean,87
mathreduce_max,45
mathreduce_logsumexp,8
mathreciprocal_no_nan,0
mathreciprocal,23
mathreal,24
mathpow,108
mathpolyval,5
mathpolygamma,2
mathnextafter,5
mathmultiply,53
mathreduce_euclidean_norm,1
mathnot_equal,23
mathreduce_any,12
mathminimum,33
mathnegative,3
mathndtri,7
mathmaximum,64
mathmultiply_no_nan,23
mathlogical_not,25
mathlogical_and,19
mathlgamma,66
mathlog_sigmoid,7
mathlogical_xor,5
mathlogical_or,14
mathlog1p,113
mathlog,1395
mathless,20
mathis_non_decreasing,1
mathless_equal,12
mathis_nan,42
mathlbeta,22
mathis_inf,14
mathl2_normalize,24
mathis_strictly_increasing,3
mathis_finite,29
mathimag,9
mathigammac,10
mathin_top_k,1
mathfloormod,21
mathgreater_equal,8
mathfloordiv,12
mathfloor,345
mathigamma,15
mathinvert_permutation,6
mathexpm1,39
mathdivide_no_nan,28
matherfc,12
matherf,61
mathequal,97
matherfinv,7
mathgreater,37
mathexp,533
mathdivide,47
mathdigamma,41
mathcumulative_logsumexp,1
mathcumsum,39
mathcumprod,10
mathcosh,7
mathcount_nonzero,38
mathcos,231
mathconfusion_matrix,6
mathbincount,16
mathbessel_i1e,7
mathbessel_i1,9
mathceil,757
mathconj,28
mathbessel_i0,15
mathatanh,2
mathbetainc,7
mathatan,66
mathatan2,58
mathasinh,2
mathbessel_i0e,13
mathasin,10
mathargmin,3
mathacos,13
mathacosh,2
mathargmax,31
mathangle,3
mathadd_n,17
mathadd,28
mathaccumulate_n,3
lookupexperimentalDenseHashTable,1
lookupTextFileInitializer,43
lookupStaticHashTable,8
mathabs,64
lookupKeyValueTensorInitializer,95
liteTFLiteConverter,40
lookupStaticVocabularyTable,4
liteexperimentalload_delegate,0
liteTargetSpec,0
liteRepresentativeDataset,1
linalgtridiagonal_solve,5
liteInterpreter,42
linalgtridiagonal_matmul,1
linalgtriangular_solve,65
linalgsvd,104
linalgtensor_diag,19
linalgsqrtm,4
linalgslogdet,15
linalgtrace,23
linalgtensor_diag_part,6
linalgsolve,97
linalgset_diag,43
linalgmatrix_transpose,37
linalgqr,31
linalgnormalize,0
linalgpinv,19
linalgmatvec,45
linalglu_solve,0
linalglu_reconstruct,0
linalgmatrix_rank,6
linalglu_matrix_inverse,0
linalglu,44
linalgmatmul,168
linalglstsq,18
linalglogm,0
linalgLinearOperatorScaledIdentity,11
linalgLinearOperatorLowRankUpdate,12
linalglogdet,5
linalgLinearOperatorToeplitz,1
linalgLinearOperatorZeros,1
linalgLinearOperatorKronecker,3
linalgLinearOperatorHouseholder,1
linalgLinearOperatorFullMatrix,31
linalgLinearOperatorDiag,46
linalgLinearOperatorLowerTriangular,42
linalgLinearOperatorInversion,1
linalgLinearOperatorPermutation,0
linalgLinearOperatorIdentity,14
linalgLinearOperatorComposition,1
linalgLinearOperatorCirculant3D,1
linalgLinearOperatorCirculant2D,1
linalgLinearOperatorCirculant,3
linalgLinearOperatorBlockDiag,7
linalgLinearOperatorAdjoint,1
linalgLinearOperator,215
linalginv,170
linalgcross,4
linalgglobal_norm,10
linalgdiag,169
linalgeigh,36
linalgdet,64
linalgexpm,5
linalgdiag_part,110
linalgeigvalsh,10
linalgcholesky,160
keraswrappersscikit_learnKerasRegressor,0
linalgadjoint,39
keraswrappersscikit_learnKerasClassifier,0
linalgband_part,47
linalgcholesky_solve,11
kerasutilsto_categorical,253
kerasutilsserialize_keras_object,20
kerasutilsSequenceEnqueuer,0
kerasutilsOrderedEnqueuer,0
kerasutilsnormalize,0
kerasutilsmulti_gpu_model,4
kerasutilsHDF5Matrix,0
kerasutilsregister_keras_serializable,80
kerasutilsProgbar,0
kerasutilsplot_model,6
kerasutilsmodel_to_dot,0
kerasutilsget_source_inputs,0
kerasutilsget_file,38
kerasutilsget_custom_objects,5
kerasutilsconvert_all_kernels_in_model,0
kerasutilsdeserialize_keras_object,20
kerasutilscustom_object_scope,8
kerasutilsGeneratorEnqueuer,0
kerasutilsCustomObjectScope,13
kerasregularizersget,45
kerasregularizersl2,191
kerasregularizersl1,13
kerasregularizersl1_l2,2
kerasregularizersserialize,40
keraspreprocessingtextTokenizer,10
keraspreprocessingtexthashing_trick,0
keraspreprocessingtexttokenizer_from_json,0
keraspreprocessingtexttext_to_word_sequence,0
keraspreprocessingtextone_hot,0
kerasregularizersdeserialize,0
keraspreprocessingsequenceTimeseriesGenerator,0
keraspreprocessingsequenceskipgrams,0
keraspreprocessingsequencepad_sequences,34
keraspreprocessingsequencemake_sampling_table,0
kerasregularizersL1L2,2
keraspreprocessingimagesave_img,2
keraspreprocessingimagerandom_zoom,1
keraspreprocessingimagerandom_channel_shift,0
keraspreprocessingimagerandom_brightness,0
keraspreprocessingimageNumpyArrayIterator,1
keraspreprocessingimagerandom_shear,0
keraspreprocessingimagerandom_rotation,0
keraspreprocessingimageload_img,12
keraspreprocessingimageIterator,2
keraspreprocessingimagerandom_shift,0
keraspreprocessingimageimg_to_array,9
keraspreprocessingimagearray_to_img,0
keraspreprocessingimageapply_brightness_shift,0
keraspreprocessingimageDirectoryIterator,2
keraspreprocessingimageapply_channel_shift,0
kerasoptimizersschedulesserialize,0
kerasoptimizersschedulesPolynomialDecay,4
keraspreprocessingimageapply_affine_transform,0
kerasoptimizersschedulesInverseTimeDecay,5
kerasoptimizersschedulesExponentialDecay,9
kerasoptimizersschedulesPiecewiseConstantDecay,5
kerasoptimizersschedulesLearningRateSchedule,36
kerasoptimizersRMSprop,26
kerasoptimizersOptimizer,76
kerasoptimizersget,5
kerasoptimizersSGD,176
kerasoptimizersserialize,17
kerasoptimizersschedulesdeserialize,1
kerasoptimizersNadam,4
kerasoptimizersAdagrad,5
kerasoptimizersFtrl,2
kerasoptimizersdeserialize,18
kerasmodelssave_model,16
kerasoptimizersAdamax,2
kerasoptimizersAdam,307
kerasoptimizersAdadelta,23
kerasmodelsmodel_from_config,11
kerasmodelsmodel_from_yaml,1
kerasmixed_precisionexperimentalPolicy,13
kerasmixed_precisionexperimentalset_policy,14
kerasmodelsmodel_from_json,10
kerasmixed_precisionexperimentalglobal_policy,0
kerasmodelsload_model,66
kerasmodelsclone_model,26
kerasmixed_precisionexperimentalLossScaleOptimizer,4
kerasmetricsTruePositives,2
kerasmetricsSum,2
kerasmetricsTopKCategoricalAccuracy,1
kerasmetricstop_k_categorical_accuracy,4
kerasmetricsSpecificityAtSensitivity,1
kerasmetricsSquaredHinge,2
kerasmetricssparse_categorical_accuracy,4
kerasmetricssparse_top_k_categorical_accuracy,0
kerasmetricsTrueNegatives,1
kerasmetricsRecall,5
kerasmetricsPrecisionAtRecall,0
kerasmetricsserialize,1
kerasmetricsSparseTopKCategoricalAccuracy,2
kerasmetricsSparseCategoricalCrossentropy,5
kerasmetricsPoisson,1
kerasmetricsMeanSquaredLogarithmicError,1
kerasmetricsSparseCategoricalAccuracy,75
kerasmetricsMeanTensor,0
kerasmetricsMetric,14
kerasmetricsSensitivityAtSpecificity,1
kerasmetricsRootMeanSquaredError,1
kerasmetricsPrecision,5
kerasmetricsMeanSquaredError,3
kerasmetricsMeanRelativeError,0
kerasmetricsMeanIoU,3
kerasmetricsMeanAbsoluteError,3
kerasmetricsLogCoshError,1
kerasmetricsMean,139
kerasmetricsKLDivergence,1
kerasmetricsMeanAbsolutePercentageError,2
kerasmetricsCategoricalHinge,2
kerasmetricscategorical_accuracy,18
kerasmetricsFalseNegatives,2
kerasmetricsFalsePositives,2
kerasmetricsget,2
kerasmetricsdeserialize,1
kerasmetricsHinge,2
kerasmetricsBinaryAccuracy,12
kerasmetricsBinaryCrossentropy,1
kerasmetricsCategoricalCrossentropy,1
kerasmetricsbinary_accuracy,1
kerasmetricsCosineSimilarity,1
kerasmetricsCategoricalAccuracy,9
kerasmetricsAUC,18
kerasmetricsAccuracy,11
keraslossessquared_hinge,1
keraslossesSquaredHinge,2
keraslossessparse_categorical_crossentropy,41
keraslossesSparseCategoricalCrossentropy,49
keraslossesserialize,6
keraslossespoisson,0
keraslossesMeanAbsolutePercentageError,2
keraslossesMSE,9
keraslossesMeanSquaredLogarithmicError,2
keraslossesMeanSquaredError,18
keraslossesMSLE,0
keraslossesMeanAbsoluteError,5
keraslossesMAPE,0
keraslossesPoisson,1
keraslosseslogcosh,0
keraslossesLoss,12
keraslossesHuber,1
keraslossesLogCosh,1
keraslossesMAE,0
keraslossesKLDivergence,1
keraslossesCosineSimilarity,0
keraslosseshinge,1
keraslossesHinge,2
keraslossescategorical_crossentropy,55
keraslossesdeserialize,6
keraslossesget,5
keraslossescategorical_hinge,0
keraslossescosine_similarity,0
keraslayersexperimentalpreprocessingTextVectorization,0
keraslayersexperimentalpreprocessingPreprocessingLayer,0
keraslossesbinary_crossentropy,14
keraslossesBinaryCrossentropy,42
keraslossesCategoricalCrossentropy,17
keraslayersZeroPadding3D,7
keraslayersZeroPadding2D,62
keraslayersexperimentalpreprocessingNormalization,0
keraslossesCategoricalHinge,1
keraslayersZeroPadding1D,5
keraslayersWrapper,12
keraslayersUpSampling3D,3
keraslayersUpSampling2D,43
keraslayersTimeDistributed,96
keraslayersThresholdedReLU,6
keraslayerssubtract,2
keraslayersUpSampling1D,4
keraslayersSimpleRNN,62
keraslayersSubtract,4
keraslayersStackedRNNCells,9
keraslayersSimpleRNNCell,44
keraslayersSpatialDropout3D,4
keraslayersSeparableConv2D,29
keraslayersSpatialDropout2D,5
keraslayersserialize,19
keraslayersSoftmax,3
keraslayersRNN,33
keraslayersReshape,77
keraslayersRepeatVector,12
keraslayersSeparableConv1D,6
keraslayersMinimum,0
keraslayersReLU,58
keraslayersPReLU,20
keraslayersSpatialDropout1D,8
keraslayersPermute,0
keraslayersminimum,0
keraslayersMaxPool3D,7
keraslayersMaxPool2D,50
keraslayersmaximum,0
keraslayersLocallyConnected1D,3
keraslayersMaxPool1D,6
keraslayersLSTMCell,83
keraslayersLSTM,180
keraslayersLocallyConnected2D,3
keraslayersMasking,13
keraslayersMaximum,3
keraslayersInputLayer,33
keraslayersLayerNormalization,78
keraslayersLayer,655
keraslayersLeakyReLU,75
keraslayersGRU,61
keraslayersGRUCell,27
keraslayersLambda,78
keraslayersInputSpec,43
keraslayersGlobalMaxPool3D,4
keraslayersGlobalMaxPool2D,4
keraslayersGlobalMaxPool1D,3
keraslayersGlobalAveragePooling3D,5
keraslayersGlobalAveragePooling2D,54
keraslayersGlobalAveragePooling1D,8
keraslayersdot,2
keraslayersGaussianNoise,3
keraslayersGaussianDropout,4
keraslayersFlatten,186
keraslayersELU,1
keraslayersDropout,326
keraslayersDot,1
keraslayersDense,1379
keraslayersEmbedding,169
keraslayersCropping3D,3
keraslayersdeserialize,20
keraslayersCropping2D,7
keraslayersCropping1D,2
keraslayersDepthwiseConv2D,33
keraslayersDenseFeatures,62
keraslayersConvLSTM2D,9
keraslayersConv3DTranspose,7
keraslayersConv3D,28
keraslayersConv2D,637
keraslayersConv2DTranspose,81
keraslayersConv1D,53
keraslayersconcatenate,50
keraslayersConcatenate,66
keraslayersAveragePooling3D,6
keraslayersAttention,0
keraslayersAverage,88
keraslayersAveragePooling2D,77
keraslayersaverage,1
keraslayersBidirectional,46
keraslayersBatchNormalization,275
keraslayersAlphaDropout,1
keraslayersAveragePooling1D,2
keraslayersadd,45
keraslayersAdditiveAttention,0
keraslayersAdd,69
keraslayersActivityRegularization,0
keraslayersActivation,204
keraslayersAbstractRNNCell,12
kerasinitializersVarianceScaling,21
kerasinitializersTruncatedNormal,26
kerasinitializersserialize,49
kerasinitializersOrthogonal,1
kerasinitializerslecun_uniform,0
kerasinitializershe_normal,42
kerasinitializerslecun_normal,0
kerasinitializersInitializer,10
kerasinitializersget,74
kerasinitializersIdentity,0
kerasinitializersGlorotNormal,5
kerasinitializershe_uniform,1
kerasinitializersGlorotUniform,9
kerasexperimentalWideDeepModel,0
kerasexperimentalSequenceFeatures,0
kerasexperimentalPeepholeLSTMCell,7
kerasexperimentalNoisyLinearCosineDecay,1
kerasexperimentalterminate_keras_multiprocessing_pools,0
