Name,Stars,Forks,Months,TF_version,Torch_version,Np_version
vrasneur/pyfasttext,230.0,31.0,36.0,none,none,none
tirthajyoti/Stats-Maths-with-Python,218.0,131.0,36.0,none,none,none
leandromineti/ml-feynman-experience,212.0,12.0,24.0,none,none,none
ahmedbesbes/Neural-Network-from-scratch,211.0,46.0,24.0,none,none,none
tdegeus/pybind11_examples,208.0,32.0,36.0,none,none,none
sergree/matchering,208.0,35.0,24.0,none,none,numpy>=1.17.0
jayboxyz/deeplearning_cv_notes,202.0,79.0,24.0,none,none,none
bh107/bohrium,197.0,33.0,60.0,none,none,none
ahmedfgad/GeneticAlgorithmPython,195.0,125.0,24.0,none,none,none
lb2281075105/Python-WeChat-ItChat,193.0,82.0,24.0,none,none,none
ritchieng/deep-learning-wizard,194.0,89.0,24.0,none,none,none
mimoralea/gdrl,190.0,50.0,24.0,none,none,none
rootpy/rootpy,185.0,70.0,96.0,none,none,none
kakul/Alyn,177.0,68.0,48.0,none,none,none
scikit-hep/awkward-array,175.0,33.0,24.0,none,none,numpy>=1.13.1
wizardforcel/data-science-notebook,175.0,74.0,36.0,none,none,none
ofnote/tsalib,171.0,9.0,24.0,none,none,none
swcarpentry/python-novice-inflammation,169.0,578.0,72.0,none,none,none
42-AI/bootcamp_python,169.0,42.0,12.0,none,none,none
pytroll/pyresample,164.0,67.0,72.0,none,none,none
fwilliams/point-cloud-utils,164.0,18.0,24.0,none,none,none
stestagg/pytubes,161.0,14.0,24.0,none,none,none
nigma/pywt,159.0,74.0,120.0,none,none,none
alyssaq/3Dreconstruction,159.0,61.0,36.0,none,none,none
python-windrose/windrose,155.0,77.0,60.0,none,none,none
zhuzilin/NP_ML,155.0,53.0,24.0,none,none,none
scikit-signal/tftb,155.0,43.0,72.0,none,none,none
fuatbeser/python-notlarim,154.0,34.0,24.0,none,none,none
wkcn/MobulaOP,152.0,19.0,24.0,none,none,none
khanhnamle1994/fashion-recommendation,149.0,54.0,12.0,none,none,none
InvestmentSystems/static-frame,147.0,18.0,24.0,none,none,nnumpy>=1.16.5
doodyparizada/word2vec-spam-filter,147.0,15.0,36.0,none,none,none
explosion/cython-blis,146.0,17.0,36.0,none,none,none
NLP-kr/tensorflow-ml-nlp,144.0,103.0,24.0,b'tensorflow>=1.10,none,none
alanmarazzi/panthera,143.0,10.0,12.0,none,none,none
kunalj101/Data-Science-Hacks,146.0,97.0,0.0,none,none,none
mantidproject/mantid,140.0,84.0,108.0,none,none,none
psi4/psi4numpy,139.0,94.0,72.0,none,none,none
corazzon/OpenDataWrangling,135.0,92.0,24.0,none,none,none
stb-tester/stb-tester,133.0,83.0,96.0,none,none,none
jasonleaster/FaceDetection,132.0,64.0,48.0,none,none,none
zziz/kalman-filter,131.0,42.0,24.0,none,none,none
Stewori/JyNI,128.0,14.0,84.0,none,none,none
pyro-ppl/funsor,127.0,10.0,12.0,none,none,none
qg0/cheatsheets.pdf,125.0,74.0,36.0,none,none,none
scikit-hep/root_numpy,125.0,52.0,96.0,none,none,none
prusa3d/PrusaControl,124.0,51.0,60.0,none,none,none
rasbt/One-Python-benchmark-per-day,124.0,30.0,72.0,none,none,none
team-ocean/veros,124.0,19.0,36.0,none,none,nnumpy==1.18.5
nicklashansen/rnn_lstm_from_scratch,125.0,28.0,12.0,none,none,none
junqiangchen/LiTS---Liver-Tumor-Segmentation-Challenge,123.0,40.0,24.0,none,none,none
lebedov/msgpack-numpy,123.0,22.0,84.0,none,none,numpy>=1.9.0
Wscats/python-tutorial,121.0,7.0,24.0,none,none,none
adamreeve/npTDMS,121.0,64.0,96.0,none,none,none
ank0409/Ditching-Excel-for-Python,121.0,65.0,12.0,none,none,none
ahmetozlu/color_recognition,121.0,63.0,24.0,none,none,none
mverleg/pyjson_tricks,120.0,16.0,60.0,none,none,none
fenglei110/Data-analysis,119.0,37.0,12.0,none,none,none
ADGEfficiency/teaching-monolith,118.0,21.0,12.0,none,none,none
ShuaiW/ml-cheatsheet,118.0,44.0,36.0,none,none,none
AstusRush/AMaDiA,122.0,4.0,12.0,none,none,  - numpydoc=0.9.1=py_0
apachecn/ds-ai-tech-notes,117.0,40.0,24.0,none,none,none
scikit-hep/pyhf,115.0,37.0,24.0,none,none,none
gammapy/gammapy,115.0,116.0,84.0,none,none,none
MorvanZhou/simple-neural-networks,114.0,26.0,24.0,none,none,none
Tanu-N-Prabhu/Python,115.0,127.0,12.0,none,none,none
botkop/numsca,113.0,9.0,36.0,none,none,none
mtrazzi/rl-book-challenge,111.0,18.0,0.0,none,none,none
gaborvecsei/Color-Tracker,111.0,18.0,36.0,none,none,none
albertaparicio/tfg-voice-conversion,110.0,32.0,48.0,none,none,none
cvut/MI-PYT,110.0,27.0,48.0,none,none,none
square/pysurvival,110.0,34.0,12.0,none,none,none
Rajat-dhyani/Stock-Price-Predictor,109.0,55.0,36.0,none,none,none
tomoncle/Python-notes,104.0,52.0,36.0,none,none,none
yati-sagade/opencv-ndarray-conversion,102.0,39.0,84.0,none,none,none
shoyer/numbagg,101.0,7.0,72.0,none,none,none
nnadeau/pybotics,101.0,22.0,48.0,none,none,numpy>=1.9.0
caesar0301/graphsim,101.0,21.0,60.0,none,none,none
cjekel/piecewise_linear_fit_py,101.0,29.0,36.0,none,none,none
phelps-sg/python-bigdata,100.0,131.0,48.0,none,none,none
ylikx/forpy,99.0,22.0,24.0,none,none,none
bat67/Deep-Learning-with-PyTorch-A-60-Minute-Blitz-cn,98.0,28.0,12.0,none,none,none
v923z/micropython-ulab,97.0,19.0,12.0,none,none,none
rougier/tiny-renderer,96.0,7.0,12.0,none,none,none
Blosc/bloscpack,95.0,21.0,96.0,none,none,none
pierreablin/autoptim,92.0,7.0,12.0,none,none,none
fehiepsi/rethinking-numpyro,90.0,11.0,12.0,none,none,none
stormdony/python_demo,89.0,64.0,24.0,none,none,none
KananVyas/BoxDetection,88.0,41.0,24.0,none,none,none
AlexIoannides/pymc-example-project,87.0,15.0,24.0,none,none,none
PerpetualSmile/BeautyCamera,87.0,43.0,36.0,none,none,none
karolzak/support-tickets-classification,86.0,53.0,24.0,none,none,nnumpy==1.13.3
mitmul/pynvvl,85.0,14.0,24.0,none,none,none
codingforentrepreneurs/Web-Scraping,82.0,44.0,24.0,none,none,none
petronetto/docker-python-deep-learning,81.0,31.0,24.0,none,none,none
sspipe/sspipe,80.0,4.0,24.0,none,none,none
matazure/mtensor,79.0,26.0,36.0,none,none,none
venky14/Stock-Market-Analysis-and-Prediction,77.0,61.0,36.0,none,none,nnumpy==1.10.4
ramonhagenaars/nptyping,75.0,8.0,12.0,none,none,none
jalajthanaki/credit-risk-modelling,74.0,89.0,36.0,none,none,none
Docker-Hub-frolvlad/docker-alpine-python-machinelearning,73.0,22.0,48.0,none,none,none
apachecn/numpy-doc-zh,72.0,40.0,36.0,none,none,none
fish2000/instakit,72.0,5.0,96.0,none,none,none
cedrickchee/data-science-notebooks,72.0,23.0,24.0,none,none,none
clarkerubber/irwin,72.0,14.0,36.0,none,none,none
TrainingByPackt/Data-Science-for-Marketing-Analytics,71.0,50.0,24.0,none,none,none
rsokl/MyGrad,69.0,16.0,36.0,none,none,none
mhe/pynrrd,69.0,36.0,120.0,none,none,numpy>=1.11.1
Olow304/Data-Analysis-Science,68.0,34.0,36.0,none,none,none
ssanderson/foundations-of-numerical-computing,68.0,27.0,24.0,none,none,  - numpy=1.14.3=py36_blas_openblas_200
xtensor-stack/xtensor-r,67.0,12.0,36.0,none,none,none
edmBernard/pybind11_opencv_numpy,66.0,26.0,48.0,none,none,none
numba/numba-scipy,65.0,11.0,12.0,none,none,none
pilcru/ghpythonremote,64.0,24.0,36.0,none,none,none
thinking-tower/Fourier-and-Images,61.0,2.0,24.0,none,none,none
Zuzu-Typ/PyGLM,61.0,10.0,36.0,none,none,none
clair513/Seaborn-Tutorial,61.0,42.0,24.0,none,none,none
moble/jupyter_boilerplate,60.0,10.0,60.0,none,none,none
aryaminus/memento,59.0,3.0,24.0,none,none,numpy==1.13.1
YeongHyeon/R-CNN_LIGHT,57.0,19.0,36.0,none,none,none
fotisk07/Image-Classifier,56.0,41.0,24.0,none,none,none
DragonFive/python_cv_AI_ML,56.0,41.0,60.0,none,none,none
davidawad/Lane-Detection,56.0,38.0,48.0,none,none,none
jan-mue/geometer,55.0,4.0,24.0,none,none,none
snrazavi/Machine-Learning-in-Python-Workshop,55.0,27.0,36.0,none,none,none
ahmedfgad/NumPyANN,54.0,35.0,12.0,none,none,none
seung-lab/connected-components-3d,54.0,6.0,24.0,none,none,none
rickwierenga/MLFundamentals,54.0,6.0,0.0,none,none,none
narimiran/double_pendulum,54.0,7.0,24.0,none,none,none
Nikhil22/netflix-style-recommender,53.0,37.0,60.0,none,none,none
milcent/benford_py,53.0,23.0,60.0,none,none,none
nachiket273/One_Cycle_Policy,52.0,9.0,24.0,none,none,none
Muges/audiotsm,52.0,11.0,36.0,none,none,none
TileDB-Inc/TileDB-Py,51.0,10.0,36.0,none,none,nnumpy==1.16.* ; python_version < '3.6'
xtensor-stack/xtensor-io,49.0,16.0,36.0,none,none,none
Eyyub/numpy-convnet,49.0,13.0,36.0,none,none,none
seung-lab/cloud-volume,49.0,21.0,36.0,none,none,nnumpy>=1.13.3
nschloe/accupy,49.0,4.0,24.0,none,none,none
xcfem/xc,49.0,17.0,60.0,none,none,none
bashtage/randomgen,47.0,16.0,24.0,none,none,numpy>=1.14
QQuick/Numscrypt,47.0,4.0,48.0,none,none,none
WymanLyu/WYNullView,47.0,7.0,36.0,none,none,none
innolitics/dicom-numpy,47.0,8.0,36.0,none,none,none
stack-of-tasks/eigenpy,47.0,21.0,72.0,none,none,none
rshrc/gait-recognition,46.0,22.0,24.0,none,none,none
nursnaaz/25DaysInMachineLearning,46.0,46.0,12.0,none,none,none
dnlcrl/deep-residual-networks-pyfunt,45.0,10.0,48.0,none,none,numpy >= 1.7.1
kaleidicassociates/lubeck,44.0,7.0,36.0,none,none,none
jonasrauber/eagerpy,45.0,4.0,12.0,ntensorflow==2.1.0,ntorch==1.4.0,none
fluiddyn/transonic,46.0,1.0,12.0,none,none,  - numpy
scikit-hep/awkward-1.0,44.0,12.0,12.0,none,none,numpy>=1.13.1
MGHComputationalPathology/dicomweb-client,44.0,14.0,24.0,none,none,none
cmpute/pcl.py,42.0,11.0,36.0,none,none,none
hwalsuklee/numpy-neuralnet-exercise,42.0,13.0,36.0,none,none,none
seung-lab/euclidean-distance-transform-3d,42.0,11.0,24.0,none,none,none
NCAR/ncar-python-tutorial,42.0,25.0,12.0,none,none,none
abulbasar/machine-learning,42.0,80.0,36.0,none,none,none
williamscott701/Information-Retrieval,43.0,65.0,12.0,none,none,none
bpesquet/machine-learning-katas,42.0,12.0,24.0,none,none,none
soumyadip007/Data-Science-Using-Python-University-Course-Module,41.0,45.0,0.0,none,none,none
hsjeong5/MNIST-for-Numpy,40.0,12.0,36.0,none,none,none
aghbit/BIT_AI,40.0,21.0,48.0,none,none,nnumpy==1.14.3
andyesfly/dipiper,40.0,10.0,12.0,none,none,none
lace/vg,39.0,4.0,24.0,none,none,none
oroszgy/ScriptingLanguagesCourseMaterials,39.0,10.0,48.0,none,none,none
podgorskiy/DareBlopy,40.0,1.0,12.0,none,none,none
kmhmubin/Face-Recognition-Attendance-System,38.0,30.0,12.0,none,none,none
jdmaturen/shifted_beta_geometric_py,38.0,11.0,84.0,none,none,none
rsokl/Learning_Python,39.0,16.0,36.0,none,none,none
hesussavas/corners_stats,37.0,2.0,36.0,none,none,none
crcollins/molml,37.0,14.0,48.0,none,none,numpy>=1.9.1
jostbr/shallow-water,37.0,10.0,36.0,none,none,none
puzzlelib/PuzzleLib,36.0,7.0,0.0,none,none,none
xkumiyu/numpy-data-augmentation,35.0,13.0,36.0,none,none,none
pvigier/perlin-numpy,35.0,9.0,24.0,none,none,none
bat67/pytorch-examples-cn,35.0,9.0,24.0,none,none,none
sebgao/cTensor,35.0,7.0,24.0,none,none,none
xtensor-stack/xtensor-fftw,35.0,12.0,36.0,none,none,none
innolitics/natural-neighbor-interpolation,35.0,6.0,36.0,none,none,none
agoose77/numpy-html,35.0,0.0,24.0,none,none,none
SunPower/PVMismatch,35.0,21.0,84.0,none,none,nnumpy>=1.14.5
Bjarten/alvito,35.0,6.0,12.0,none,none,none
fotisk07/Fourier-Transform,35.0,5.0,24.0,none,none,none
koldLight/curso-python-analisis-datos,34.0,16.0,0.0,none,none,none
eric-wieser/numpy_ringbuffer,34.0,8.0,48.0,none,none,none
jaybosamiya/fuzzing-numpy,34.0,5.0,36.0,none,none,none
martinpella/logistic-reg,34.0,53.0,24.0,none,none,none
TrainingByPackt/Data-Science-Projects-with-Python,34.0,36.0,24.0,none,none,none
mlagunas/pytorch-nptransforms,34.0,5.0,36.0,none,none,none
TheGlitchCat/Python-Course,34.0,14.0,0.0,none,none,none
IntelPython/mkl_fft,33.0,9.0,36.0,none,none,none
Dyakonov/IML,33.0,17.0,24.0,none,none,none
jchrisweaver/vidpipe,33.0,7.0,24.0,none,none,numpy==1.15.0
hbldh/pyefd,33.0,8.0,48.0,none,none,none
Lancern/asm2vec,33.0,5.0,12.0,none,none,none
rugantio/MachineLearningCourse,33.0,32.0,24.0,none,none,none
ofnote/tsanley,33.0,1.0,12.0,none,none,none
ankitesh97/Gesture-Recognition-CNN,32.0,10.0,36.0,none,none,none
ducha-aiki/numpy-sift,32.0,5.0,36.0,none,none,none
v-iashin/CS231n-2017,32.0,9.0,24.0,none,none,none
samanyougarg/Group-Emotion-Recognition,32.0,15.0,24.0,ntensorflow-estimator==1.14.0,none,nnumpy==1.15.4
CALFEM/calfem-python,32.0,10.0,60.0,none,none,none
jimfleming/differentiation,32.0,8.0,48.0,none,none,none
AyushExel/Neo,32.0,11.0,24.0,none,none,numpy==1.14.3
LaicZhang/awesome-ebooks,32.0,10.0,12.0,none,none,none
ShibiHe/Model-Free-Episodic-Control,31.0,8.0,48.0,none,none,none
MarcoForte/poisson-matting,31.0,4.0,36.0,none,none,none
fwilliams/numpyeigen,31.0,4.0,24.0,none,none,none
tulip-control/polytope,31.0,11.0,72.0,none,none,none
chokkan/deeplearning,31.0,2.0,24.0,none,none,none
syamkakarla98/Dimensionality-reduction-and-classification-on-Hyperspectral-Images-Using-Python,31.0,19.0,24.0,none,none,none
StephanieStallworth/Exploratory_Data_Analysis_Visualization_Python,31.0,48.0,36.0,none,none,none
ryfeus/gcf-packs,31.0,7.0,24.0,none,none,none
petronetto/machine-learning-alpine,31.0,11.0,36.0,none,none,none
guanfuchen/cnn_np,30.0,9.0,24.0,none,none,none
upalr/Python-camp,30.0,21.0,36.0,none,none,none
syrte/ndtest,30.0,16.0,48.0,none,none,none
predictive-analytics-lab/data-science-types,30.0,9.0,12.0,none,none,none
deeplearning4j/jumpy,29.0,12.0,36.0,none,none,nnumpy==1.14.2
theflofly/dnn_from_scratch_py,29.0,12.0,36.0,ntensorflow==1.4.1,none,numpy==1.12.0
prideout/clumpy,29.0,2.0,24.0,none,none,none
TheAILearner/Snake-Game-with-Deep-learning,29.0,11.0,24.0,none,none,none
spatialaudio/sfa-numpy,29.0,9.0,36.0,none,none,none
unknownue/PyTorch.docs,29.0,2.0,12.0,none,none,none
TrainingByPackt/Data-Visualization-with-Python,30.0,42.0,24.0,none,none,none
amsukdu/SimplePythonCNN,28.0,7.0,36.0,none,none,none
fengyang95/tiny_ml,28.0,6.0,24.0,none,none,none
sukhbinder/intersection,28.0,9.0,36.0,none,none,none
bakerjd99/jacks,29.0,4.0,84.0,none,none,none
FranckNdame/drlkit,28.0,0.0,12.0,none,none,none
xming521/WorkAggregation,28.0,7.0,0.0,none,none,nnumpy==1.15.0
jefkine/zeta-learn,27.0,3.0,24.0,none,none,none
OpenDataAnalytics/gaia,27.0,15.0,72.0,none,none,nnumpy>=1.10.0
skhaz/steamosaic,27.0,2.0,12.0,none,none,none
innat/DIP-In-Python,27.0,24.0,24.0,none,none,none
navjindervirdee/neural-networks,26.0,15.0,36.0,none,none,none
abdulfatir/sampling-methods-numpy,26.0,7.0,24.0,none,none,none
fubel/PyCannyEdge,27.0,11.0,48.0,none,none,none
nachiket273/Self_Driving_Car,26.0,22.0,12.0,none,none,none
kaishengteh/Data-Analyst-Nanodegree,26.0,24.0,36.0,none,none,none
sarvasvkulpati/LinearRegression,26.0,27.0,24.0,none,none,nnumpy==1.15.4
the-akira/Python-Matematica,26.0,6.0,12.0,none,none,none
SamRagusa/Batch-First,25.0,4.0,36.0,none,none,none
PyXRD/PyXRD,25.0,8.0,60.0,none,none,none
AtsushiSakai/numpycpp,25.0,2.0,36.0,none,none,none
CICIFLY/Data-Analytics-Projects,25.0,24.0,24.0,none,none,none
popovicidaniela/Master-Thesis,25.0,3.0,36.0,none,none,none
umangjpatel/dnet,25.0,4.0,12.0,ntensorflow-datasets==3.1.0',none,numpy==1.18.4
scikit-hep/pyjet,25.0,19.0,36.0,none,none,  - numpy
dshahid380/Data-analysis-with-pandas,25.0,14.0,12.0,none,none,none
